STIM,Base,Lexicality,affix,Source,FinalCut,correctans,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,Stim.Type,NW.Type,Sublist,CB.Cond
TOSSING,TOSS,W,ING,RastleFiller,S,z,5,407,6.01,84,4.43,4,7,2715.67,2896,CritialWord,NA,1,AB
TUTORING,TUTOR,W,ING,RastleFiller,S,z,5,499,6.212606096,4,1.386294361,5,8,2784.14,3256,CritialWord,NA,1,AB
PEAKING,PEAK,W,ING,RastleFiller,S,z,6,546,6.30,3,1.10,4,7,,,CritialWord,NA,1,AB
HARMLESS,HARM,W,LESS,FORD,S,z,7,1101,7.00,241,5.48,4,8,2029.43,3270,CritialWord,NA,1,AB
EFFORTLESS,EFFORT,W,LESS,FORD,S,z,4,2456,7.81,32,3.47,6,10,1677,1721,CritialWord,NA,1,AB
GRIMLY,GRIM,W,LY,FORD,S,z,6,552,6.31,125,4.83,4,6,1217.8,1250,CritialWord,NA,1,AB
DENSELY,DENSE,W,LY,FORD,S,z,7,655,6.48,43,3.76,5,7,,,CritialWord,NA,1,AB
NEATLY,NEAT,W,LY,FORD,S,z,3,924,6.83,365,5.90,4,6,2047,1586,CritialWord,NA,1,AB
GUILTY,GUILT,W,LY,RastleFiller,S,z,7,1576,7.36,865,6.76,5,6,663.6,684,CritialWord,NA,1,AB
HUGELY,HUGE,W,LY,FORD,S,z,3,1918,7.56,50,3.91,4,6,,,CritialWord,NA,1,AB
COSTLY,COST,W,LY,FORD,S,z,6,4215,8.35,191,5.25,4,6,1769.4,3014,CritialWord,NA,1,AB
LOCALLY,LOCAL,W,LY,FORD,S,z,7,4485,8.41,182,5.20,5,7,1691,1257,CritialWord,NA,1,AB
AMUSEMENT,AMUSE,W,MENT,FORD,S,z,3,857,6.75,178,5.18,5,9,1798.25,1833,CritialWord,NA,1,AB
