SubjID,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type
S101,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.4716332970741879,-2.0089118765470073,-0.0890086556868345,Orthographic
S103,48,41,69,0.9446476833680264,0.035657572144031965,0.7098466491769616,0.5313853036234598,0.4805528354540502,Orthographic
S104,41,42,62,-0.40353881619605003,0.20845965253433835,-0.3808933239486132,-0.12290838364002757,-0.4200828129381381,Semantic
S105,45,32,64,0.36685346926913653,-1.5195611513687255,-0.06925333162702038,-1.1324854270469966,1.0337597549418782,Orthographic
S106,42,44,77,-0.2109407448297534,0.5540638133149511,1.9564066184633329,1.7894292942626076,0.9995709427071052,Orthographic
S107,39,38,68,-0.7887349589286433,-0.4827486690268872,0.5540266530161653,0.050805980812149314,0.7389993960288348,Orthographic
S108,44,42,69,0.1742553979028399,0.20845965253433835,0.7098466491769616,0.6545562841878094,0.3573818548897013,Orthographic
S109,44,44,70,0.1742553979028399,0.5540638133149511,0.8656666453377581,1.0119646264347706,0.22210627487926596,Orthographic
S110,42,29,68,-0.2109407448297534,-2.037967392539645,0.5540266530161653,-1.0577328442669949,1.8475382211079763,Orthographic
S111,41,37,66,-0.40353881619605003,-0.6555507494171936,0.24238666069457243,-0.29449776198872485,0.6400376143566583,Orthographic
S112,38,37,69,-0.9813330302949399,-0.6555507494171936,0.7098466491769616,0.038701381366062534,0.9732367577114469,Orthographic
S113,53,48,63,1.9076380401995097,1.2452721348761766,-0.22507332778781677,0.7271838808643311,-1.0480423152059697,Semantic
S114,38,32,51,-0.9813330302949399,-1.5195611513687255,-2.0949132817173735,-2.576348381584408,-0.4101031995955379,Semantic
S115,39,45,64,-0.7887349589286433,0.7268658937052576,-0.06925333162702038,0.46873732028954535,-0.5674629923946598,Semantic
S116,43,46,64,-0.018342673463456756,0.8996679740955639,-0.06925333162702038,0.5919083008538949,-0.6906339729590089,Semantic
S117,30,35,63,-2.5221176012253133,-1.0011549101978063,-0.22507332778781677,-0.8740388664722107,0.5531804321305682,Orthographic
S118,44,46,67,0.1742553979028399,0.8996679740955639,0.3982066568553688,0.9251074442086823,-0.35743482960422057,Semantic
S119,49,43,61,1.137245754734323,0.3812617329246447,-0.5367133201094095,-0.11080378419394055,-0.6543201746207499,Semantic
S12,39,34,71,-0.7887349589286433,-1.1739569905881126,1.0214866414985544,-0.10867879809046081,1.5648824616410195,Orthographic
S120,42,42,55,-0.2109407448297534,0.20845965253433835,-1.4716332970741879,-0.9003730514678646,-1.1975474807659776,Semantic
S122,40,31,61,-0.5961368875623466,-1.6923632317590318,-0.5367133201094095,-1.5888555509661335,0.8237315921514391,Orthographic
S123,36,48,68,-1.3665291730275333,1.2452721348761766,0.5540266530161653,1.2825157864556433,-0.49271040961465595,Semantic
S124,44,48,64,0.1742553979028399,1.2452721348761766,-0.06925333162702038,0.8382502619825936,-0.9369759340877069,Semantic
S125,50,48,71,1.3298438261006198,1.2452721348761766,1.0214866414985544,1.6157149298104307,-0.1595112662598675,Semantic
S127,48,32,66,0.9446476833680264,-1.5195611513687255,0.24238666069457243,-0.9103526648104715,1.2558925171784039,Orthographic
S128,39,43,70,-0.7887349589286433,0.3812617329246447,0.8656666453377581,0.8887936458704213,0.34527725544361504,Orthographic
S129,50,48,52,1.3298438261006198,1.2452721348761766,-1.9390932855565772,-0.49454631143655564,-2.26977250750686,Semantic
S13,42,43,62,-0.2109407448297534,0.3812617329246447,-0.3808933239486132,2.6259692432184663e-4,-0.5432537935024871,Semantic
S130,49,49,69,1.137245754734323,1.4180742152664831,0.7098466491769616,1.5167531481382555,-0.5048150090607422,Semantic
S131,41,31,61,-0.40353881619605003,-1.6923632317590318,-0.5367133201094095,-1.5888555509661335,0.8237315921514391,Orthographic
S132,49,33,66,1.137245754734323,-1.3467590709784192,0.24238666069457243,-0.7871816842461221,1.1327215366140544,Orthographic
S133,36,49,78,-1.3665291730275333,1.4180742152664831,2.112226614624129,2.5163505782026174,0.4947824210036227,Orthographic
S134,43,46,71,-0.018342673463456756,0.8996679740955639,1.0214866414985544,1.3693729686817322,0.08683069486883052,Orthographic
S135,62,41,76,3.6410206824961793,0.035657572144031965,1.8005866223025364,1.3088499714512971,1.2580175032818897,Orthographic
S136,49,34,67,1.137245754734323,-1.1739569905881126,0.3982066568553688,-0.5529443225635104,1.1206169371679684,Orthographic
S137,41,44,58,-0.40353881619605003,0.5540638133149511,-1.0041733085917988,-0.3208319469843786,-1.1106902985398872,Semantic
S138,43,44,61,-0.018342673463456756,0.5540638133149511,-0.5367133201094095,0.012367196370408746,-0.777491155185099,Semantic
S139,47,40,70,0.7520496120017298,-0.13714450824627442,0.8656666453377581,0.519280704177373,0.7147901971366621,Orthographic
S140,45,44,71,0.36685346926913653,0.5540638133149511,1.0214866414985544,1.123031007553033,0.33317265599752877,Orthographic
S141,47,40,59,0.7520496120017298,-0.13714450824627442,-0.8483533124310023,-0.7024494881235136,-0.5069399951642282,Semantic
S142,43,49,60,-0.018342673463456756,1.4180742152664831,-0.692533316270206,0.5171557180738934,-1.5044124391251075,Semantic
S143,41,30,55,-0.40353881619605003,-1.8651653121493383,-1.4716332970741879,-2.3784248182400574,0.2805042860062113,Orthographic
S144,44,45,62,0.1742553979028399,0.7268658937052576,-0.3808933239486132,0.2466045580530205,-0.7895957546311854,Semantic
S145,39,36,61,-0.7887349589286433,-0.8283528298075,-0.5367133201094095,-0.9730006481443864,0.20787668932969366,Orthographic
