STIM,Base,Lexicality,affix,Source,FinalCut,correctans,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,Stim.Type,NW.Type,Sublist,CB.Cond
BRASS,BRASS,W,NA,Graves,s,Z,3,362,5.89,333,5.81,5,5,1677,1631,FillerW,NA,2,BA
CHIP,CHIP,W,NA,Graves,s,Z,5,365,5.90,103,4.63,4,4,1043,948,FillerW,NA,2,BA
WEAVE,WEAVE,W,NA,FORD,s,Z,6,402,6.00,72,4.28,5,5,1145.75,1318,FillerW,NA,2,BA
WRECK,WRECK,W,NA,RastleFiller,s,Z,7,431,6.07,150,5.01,5,5,1726.25,1348,FillerW,NA,2,BA
GLOOM,GLOOM,W,NA,RastleFiller,s,Z,4,436,6.08,190,5.25,5,5,1012,799,FillerW,NA,2,BA
STARVE,STARVE,W,NA,FORD,S,Z,4,476,6.17,112,4.72,6,6,2105,1596,FillerW,NA,2,BA
STEEP,STEEP,W,NA,FORD,S,Z,6,485,6.18,331,5.80,5,5,2376,1303,FillerW,NA,2,BA
FOLLOW,FOLLOW,W,NA,FORD,S,Z,14,7192,8.88,1480,7.30,6,6,1132,1788,FillerW,NA,2,BA
CEASE,CEASE,W,NA,Graves,S,Z,5,737,6.60,196,5.28,5,5,1732.5,1542,FillerW,NA,2,BA
DRUNK,DRUNK,W,NA,RastleFiller,S,Z,7,784,6.66,647,6.47,5,5,800.5,845,FillerW,NA,2,BA
CRUNCH,CRUNCH,W,NA,Graves,S,Z,3,131,4.88,55,4.01,6,6,1246.2,1280,FillerW,NA,2,BA
QUIT,QUIT,W,NA,Graves,S,Z,6,8133,9.00,188,5.24,4,4,1051.67,546,FillerW,NA,2,BA
SPLICE,SPLICE,W,NA,Graves,s,Z,                ,10,2.30,4,1.39,6,6,1655.6,1262,FillerW,NA,2,BA
LITHE,LITHE,W,NA,Graves,s,Z,2,23,3.14,20,3.00,5,5,1999.25,1040,FillerW,NA,2,BA
FIERCE,FIERCE,W,NA,FORD,s,Z,3,568,6.34,340,5.83,6,6,2055.8,1111,FillerW,NA,2,BA
EAT,EAT,W,NA,XuTaft,L,Z,12,5127,8.54,2340,7.76,3,3,2998,651,FillerW,NA,2,BA
MOURN,MOURN,W,NA,Rastle,L,Z,8,304,5.72,40,3.69,5,5,1116.5,1209,FillerW,NA,2,BA
STALK,STALK,W,NA,RastleFiller,L,Z,8,322,5.77,96,4.56,5,5,2153,1278,FillerW,NA,2,BA
GOLF,GOLF,W,NA,Rastle,L,Z,8,692,6.54,501,6.22,4,4,586.67,672,FillerW,NA,2,BA
BAKE,BAKE,W,NA,FORD,L,Z,8,822,6.71,96,4.56,4,4,668.67,584,FillerW,NA,2,BA
FLOAT,FLOAT,W,NA,Rastle,L,Z,8,901,6.80,293,5.68,5,5,1635.75,1039,FillerW,NA,2,BA
FAINT,FAINT,W,NA,XuTaft,L,Z,8,916,6.82,485,6.18,5,5,2815,1289,FillerW,NA,2,BA
FLESH,FLESH,W,NA,RastleFiller,L,Z,9,1049,6.96,928,6.83,5,5,2418.25,935,FillerW,NA,2,BA
IRON,IRON,W,NA,RastleFiller,L,Z,35,1520,7.33,1203,7.09,4,4,2524.33,1085,FillerW,NA,2,BA
TASTE,TASTE,W,NA,XuTaft,L,Z,17,1752,7.47,988,6.90,5,5,2822.25,2087,FillerW,NA,2,BA
LEGAL,LEGAL,W,NA,FORD,L,Z,9,1760,7.47,1064,6.97,5,5,1882,873,FillerW,NA,2,BA
SICK,SICK,W,NA,FORD,L,Z,31,1869,7.53,1187,7.08,4,4,1644,913,FillerW,NA,2,BA
SHIP,SHIP,W,NA,RastleFiller,L,Z,40,1928,7.56,762,6.64,4,4,969,901,FillerW,NA,2,BA
COOK,COOK,W,NA,RastleFiller,L,Z,15,2032,7.62,688,6.53,4,4,1209.33,2268,FillerW,NA,2,BA
LIFT,LIFT,W,NA,RastleFiller,L,Z,21,2042,7.62,792,6.67,4,4,1137,458,FillerW,NA,2,BA
SOUGHT,SOUGHT,W,NA,Graves,L,Z,8,2160,7.68,645,6.47,6,6,717,1114,FillerW,NA,2,BA
PACK,PACK,W,NA,Graves,L,Z,28,2187,7.69,459,6.13,4,4,1168,1297,FillerW,NA,2,BA
BOX,BOX,W,NA,RastleFiller,L,Z,65,2256,7.72,1324,7.19,3,3,430,380,FillerW,NA,2,BA
SOFT,SOFT,W,NA,Rastle,L,Z,27,2275,7.73,1363,7.22,4,4,380.67,386,FillerW,NA,2,BA
OLD,OLD,W,NA,RastleFiller,L,Z,16,15296,9.64,12622,9.44,3,3,813.5,35,FillerW,NA,2,BA
TAX,TAX,W,NA,FORD,L,Z,14,2763,7.92,1855,7.53,3,3,985.5,307,FillerW,NA,2,BA
SAVE,SAVE,W,NA,FORD,l,Z,15,2828,7.95,1140,7.04,4,4,1006.67,837,FillerW,NA,2,BA
TEST,TEST,W,NA,RastleFiller,l,Z,18,2905,7.97,1335,7.20,4,4,4149.67,1575,FillerW,NA,2,BA
TREAT,TREAT,W,NA,FORD,l,Z,9,3007,8.01,633,6.45,5,5,3056.5,1954,FillerW,NA,2,BA
SUIT,SUIT,W,NA,Rastle,l,Z,19,3044,8.02,1068,6.97,4,4,1157.67,945,FillerW,NA,2,BA
SMOKE,SMOKE,W,NA,FORD,l,Z,20,2076,7.64,993,6.90,5,5,654.25,570,FillerW,NA,2,BA
BAFED,BAFED,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
BALFS,BALFS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
BLANTH,BLANTH,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,6,6,NA,NA,FillerNW,Filler,2,BA
BROUPS,BROUPS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,6,6,NA,NA,FillerNW,Filler,2,BA
BUTE,BUTE,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
CINDS,CINDS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
CORG,CORG,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
BLAYS,BLAYS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
BUWL,BUWL,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
DARF,DARF,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
DARM,DARM,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
DASK,DASK,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
DASP,DASP,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
DELP,DELP,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
DOADS,DOADS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
DOWED,DOWED,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
DROES,DROES,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
DULKS,DULKS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
FALONS,FALONS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,6,6,NA,NA,FillerNW,Filler,2,BA
TREMP,TREMP,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
FROES,FROES,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
FROT,FROT,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
GAIRS,GAIRS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
GIKE,GIKE,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
GILN,GILN,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
HEAS,HEAS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
HEEM,HEEM,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
HEND,HEND,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
HESK,HESK,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
HOITS,HOITS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
JADS,JADS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
KEMT,KEMT,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
KRAISE,KRAISE,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,6,6,NA,NA,FillerNW,Filler,2,BA
LOLDS,LOLDS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
PHEEKS,PHEEKS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,6,6,NA,NA,FillerNW,Filler,2,BA
PIFTH,PIFTH,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
PLAODS,PLAODS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,6,6,NA,NA,FillerNW,Filler,2,BA
POLT,POLT,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
PORDS,PORDS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
PUCTS,PUCTS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
SCURE,SCURE,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
SMADE,SMADE,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
SOISE,SOISE,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
TUEER,TUEER,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
ULNS,ULNS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
VELT,VELT,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
VOGS,VOGS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,4,4,NA,NA,FillerNW,Filler,2,BA
VOOFS,VOOFS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
VUNKS,VUNKS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
BORMS,BORMS,NW,NA,YAP,NA,M,NA,NA,NA,NA,NA,5,5,NA,NA,FillerNW,Filler,2,BA
